uuid,gender,tenure,phone_services,internet_services,contract_duration,payment_method,number_customer_service_calls,phone_min,internet_min,phone_monthly_charges,internet_monthly_charges,avg_monthly_bill,churn,trigger_price,trigger_quality,trigger_external,treatment,churn_after_treatment
9549ab1e-febf-11ec-ac44-0242ac1c0002,Male,34,1,0,long-term,automatic transfer,3,140.76969883121592,0.0,23.88693539561381,0.0,26.049605997073726,0,0,0,0,,0
954be69a-febf-11ec-ac44-0242ac1c0002,Female,13,1,0,long-term,mail,5,126.93675992584065,0.0,21.58024291731299,0.0,17.677924947306003,0,0,0,0,upgrade_package,0
954e6b4a-febf-11ec-ac44-0242ac1c0002,Male,47,1,1,long-term,mail,0,102.84074347608373,4067.3930306720126,17.481386195860345,42.9203951032211,48.838829697121504,0,0,0,0,,0
955afd38-febf-11ec-ac44-0242ac1c0002,Female,54,1,1,long-term,email,3,121.61091071266642,13148.296506919658,20.674386950937134,90.89516928112317,106.49824043534703,0,0,0,0,,0
954a73e6-febf-11ec-ac44-0242ac1c0002,Male,8,1,1,short-term,automatic transfer,3,106.27919012762136,6448.168721777601,18.067916863587442,39.4074771225157,58.54910869488903,0,0,0,0,,0
95528bf8-febf-11ec-ac44-0242ac1c0002,Female,66,1,1,long-term,automatic transfer,4,123.37943168015501,7972.225553843229,20.974881377071142,85.85992411673242,99.71764780329273,1,0,0,1,upgrade_package,1
954faa5a-febf-11ec-ac44-0242ac1c0002,Male,17,1,1,long-term,email,2,104.97180819731659,6015.3850172619,17.845507836782502,54.67429603164026,64.62792036160914,0,0,0,0,,0
955a649a-febf-11ec-ac44-0242ac1c0002,Male,24,1,1,short-term,email,1,132.993925684546,8732.040697832452,22.609969848989465,66.5567651434958,86.86677221541693,0,0,0,0,,0
9552ee0e-febf-11ec-ac44-0242ac1c0002,Female,3,1,1,short-term,mail,1,140.69664187365078,4793.542760861649,23.918943443072624,13.423776248139333,29.9574,0,0,0,0,,0
954c643a-febf-11ec-ac44-0242ac1c0002,Female,49,1,1,long-term,automatic transfer,1,113.48391223589786,6736.398349097355,19.29939643679061,49.41235344871775,68.42539923626742,0,0,0,0,,0
9554a302-febf-11ec-ac44-0242ac1c0002,Male,42,1,1,long-term,mail,0,129.06658043296807,4913.112707197356,21.943638483349005,45.457870627254614,63.33667539547676,0,0,0,0,,0
95578018-febf-11ec-ac44-0242ac1c0002,Male,6,1,1,short-term,email,2,123.37943168015501,7109.473094373245,20.974881377071142,61.263385744916455,67.47048270619703,1,0,0,1,,1
954eb690-febf-11ec-ac44-0242ac1c0002,Female,72,1,1,long-term,automatic transfer,0,123.37943168015501,8239.476397438528,20.974881377071142,50.877064987302774,70.2298914522506,0,0,0,0,,0
95504e42-febf-11ec-ac44-0242ac1c0002,Female,46,1,1,short-term,automatic transfer,2,121.13510666461903,8126.644620211332,20.591096574804563,62.59683212082554,80.35109788666625,0,0,0,0,,0
954934f4-febf-11ec-ac44-0242ac1c0002,Male,1,1,0,short-term,mail,0,125.46340881153928,0.0,21.331578048923596,0.0,10.872,0,0,0,0,,0
955a98ca-febf-11ec-ac44-0242ac1c0002,Female,44,1,0,short-term,mail,1,128.0946116361471,0.0,21.773778671215133,0.0,17.33888888888889,0,0,0,0,,0
954930c6-febf-11ec-ac44-0242ac1c0002,Male,1,1,0,short-term,mail,1,114.99810603694036,0.0,19.552393355069892,0.0,9.971,0,0,0,0,,0
9558c25c-febf-11ec-ac44-0242ac1c0002,Female,57,1,1,short-term,email,1,121.4137601261512,7950.994374566149,20.594923032683937,58.8034007475942,71.41348607481686,0,0,0,0,,0
95588bd4-febf-11ec-ac44-0242ac1c0002,Male,23,1,1,short-term,automatic transfer,0,127.50804706291228,5914.86902672551,21.676928274531402,47.05397755239408,60.90488982816468,0,0,0,0,,0
9557e206-febf-11ec-ac44-0242ac1c0002,Female,4,1,1,short-term,mail,0,122.62412052996198,6647.495530240673,20.846520312786403,60.792888802590994,73.012816425714,1,1,0,0,upgrade_package,0
9548ca6e-febf-11ec-ac44-0242ac1c0002,Male,1,1,1,short-term,email,2,123.24222884182187,6705.269028563356,20.95434638786793,54.624079916754845,40.486,1,1,1,0,upgrade_package,0
95500a4a-febf-11ec-ac44-0242ac1c0002,Female,5,1,1,short-term,mail,3,119.54291667342208,9405.095103050164,20.32162091553135,51.24517393705688,57.745385689684866,0,0,0,0,,0
